simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,AGO,2,AFR,1918,1,2672250956.3771896,146764941.19395295,11167849.076355861,11167849.076355861,3141588284.0451026,213797132.62935036,22390409.370859757,22390409.370859757,42.02575844811297,6.002247252545289,36.02351119556768,50% coverage
1,AGO,2,AFR,1918,2,2651355080.039998,163233231.85303542,13378399.873301271,13378399.873301271,3167848542.0711265,268833463.45091957,29739430.840214662,29739430.840214662,38.606519981651424,7.893337962533638,30.713182019117784,50% coverage
1,AGO,2,AFR,1918,3,2637046056.0370317,180176407.00174654,15644206.102377323,15644206.102377323,3214620201.331604,342987139.32697767,37256372.51671016,37256372.51671016,36.919364364983856,10.407094566498335,26.51226979848552,50% coverage
1,AGO,2,AFR,1918,4,2644069404.1667256,213959771.66571134,17908047.44205513,17908047.44205513,3276362767.1991005,430751978.9684681,44868450.773988545,44868450.773988545,35.30777797402422,12.105853974545742,23.201923999478478,50% coverage
1,AGO,2,AFR,1918,5,2637547950.0158715,232769401.99316645,20201396.316500068,20201396.316500068,3299774852.157014,481311762.42026985,52624003.49145651,52624003.49145651,32.78124401728853,12.303226793491463,20.478017223797067,50% coverage
1,AGO,2,AFR,1918,6,2628847411.5733724,248170096.82882327,22526804.767234128,22526804.767234128,3321788713.602376,530928839.1811261,60531028.84447864,60531028.84447864,30.760745218376744,12.55210160846173,18.208643609915015,50% coverage
1,AGO,2,AFR,1918,7,2621854945.4519873,264093438.83328208,24886343.158545267,24886343.158545267,3371580730.380814,607637697.6354614,68597118.34735207,68597118.34735207,30.125992402840918,13.804529521012249,16.32146288182867,50% coverage
1,AGO,2,AFR,1918,8,2616049509.816289,281092047.26811856,27281980.178140335,27281980.178140335,3404611503.2404947,668074067.6815976,76829615.83667327,76829615.83667327,28.90413336111286,14.1845283182028,14.719605042910059,50% coverage
1,AGO,2,AFR,1918,9,2608225547.980629,295819452.2729915,29747696.07164118,29747696.07164118,3417802596.8516493,708707515.600343,85281732.30248006,85281732.30248006,27.2147815051398,13.879665246444494,13.335116258695306,50% coverage
1,AGO,2,AFR,1918,10,2600360413.217106,310160160.1039829,32221626.901829097,32221626.901829097,3430079393.626489,748617810.6073235,93869185.8288895,93869185.8288895,25.75037514205353,13.607557800827587,12.142817341225944,50% coverage
