"","country","iso3c","WHO_region","income_g","year","doses","pop_name","vacc_scenario"
"162","Zimbabwe","ZWE","AFRO","Lower middle income",2023,0,"children","0"
"163","Andorra","AND","EURO","High income",2023,0,"children","0"
"164","Cook Islands","COK","WPRO","High income",2023,0,"children","0"
"165","Marshall Islands","MHL","WPRO","Upper middle income",2023,0,"children","0"
"166","Monaco","MCO","EURO","High income",2023,0,"children","0"
"167","Nauru","NRU","WPRO","High income",2023,0,"children","0"
"168","Saint Kitts and Nevis","KNA","AMRO","High income",2023,0,"children","0"
"169","Tuvalu","TUV","WPRO","Upper middle income",2023,0,"children","0"
"170","Sierra Leone","SLE","AFRO","Low income",2023,0,"children","0"
"171","Bosnia and Herzegovina","BIH","EURO","Upper middle income",2023,0,"children","0"
"172","Mongolia","MNG","WPRO","Lower middle income",2023,0,"children","0"
"173","San Marino","SMR","EURO","High income",2023,104.742380189171,"children","0"
"174","Cyprus","CYP","EURO","High income",2023,21453.5672641027,"children","0"
"175","Qatar","QAT","EMRO","High income",2023,59320.65765,"children","0"
"176","Slovenia","SVN","EURO","High income",2023,14008.0861764646,"children","0"
"177","Malta","MLT","EURO","High income",2023,7557.8115,"children","0"
"178","Iceland","ISL","EURO","High income",2023,8703.15462245043,"children","0"
"179","Uruguay","URY","AMRO","High income",2023,11717.5884,"children","0"
"180","New Zealand","NZL","WPRO","High income",2023,24710.003,"children","0"
"181","Ireland","IRL","EURO","High income",2023,45197.922,"children","0"
"182","Australia","AUS","WPRO","High income",2023,1262525.11,"children","0"
"183","Costa Rica","CRI","AMRO","Upper middle income",2023,188542.9238,"children","0"
"184","Panama","PAN","AMRO","High income",2023,213116.27535,"children","0"
"185","Finland","FIN","EURO","High income",2023,91104.475,"children","0"
"186","Denmark","DNK","EURO","High income",2023,142454.462345553,"children","0"
"187","Greece","GRC","EURO","High income",2023,159839.160999022,"children","0"
"188","Belarus","BLR","EURO","Upper middle income",2023,300595.2134,"children","0"
"189","United Kingdom","GBR","EURO","High income",2023,1831696.875,"children","0"
"190","Chile","CHL","AMRO","High income",2023,706151.9498,"children","0"
"191","Russian Federation","RUS","EURO","Upper middle income",2023,19014187.185,"children","0"
"192","United States of America","USA","AMRO","High income",2023,48914040.12,"children","0"
"193","Brazil","BRA","AMRO","Upper middle income",2023,8684551.525,"children","0"
"194","China","CHN","WPRO","Upper middle income",2024,14548114,"children","0"
"195","Uzbekistan","UZB","EURO","Lower middle income",2024,9802032.375,"children","0"
